SIDE,HORIZON_W,STRENGTH_DIRECTION,STRENGTH_CLASS,N,TICKERS,MFE_PCT_MEAN,MFE_PCT_MEDIAN,MAE_PCT_MEAN,MAE_PCT_MEDIAN,SPEED_PCT_PER_WEEK_MEAN,SPEED_PCT_PER_WEEK_MEDIAN,FINAL_DIRECTIONAL_RETURN_PCT_MEAN,FINAL_DIRECTIONAL_RETURN_PCT_MEDIAN,FAVORABLE_WEEKS_MEAN,FAVORABLE_WEEKS_MEDIAN,ADVERSE_WEEKS_MEAN,ADVERSE_WEEKS_MEDIAN,PATH_EFFICIENCY_MEAN,PATH_EFFICIENCY_MEDIAN,HAS_FAVORABLE_MOVE_MEAN,HAS_FAVORABLE_MOVE_MEDIAN
BUY,8,BEAR,HIGH,6652,198,9.598809180763935,6.904528158026324,6.195819309814635,4.028046234704613,1.9932003798887108,1.4984988057668305,3.291340180559247,2.19127158298964,4.345309681298858,4.0,3.626728803367408,4.0,0.3677028309988199,0.3236597878823887,0.8537282020444978,1.0
BUY,8,BEAR,VERY_HIGH,5691,197,10.967936990820998,8.226601670236144,6.524000153640935,4.0618443271979165,2.351853195315218,1.7851526641204571,4.290571252697435,3.5245143789629063,4.364083640836409,4.0,3.6243191003338606,4.0,0.3610889562459565,0.3260530736879317,0.8671586715867159,1.0
BUY,8,BULL,LOW,3230,198,8.99706927764675,6.470317843542917,6.408635165866555,4.179068910549866,1.867999278915574,1.4057030707055176,2.6015960458464504,2.090012831130561,4.26687306501548,4.0,3.722291021671827,4.0,0.36375266407663426,0.3264965173821339,0.8396284829721362,1.0
BUY,8,BULL,MEDIUM,4188,197,8.331852721338752,6.078007219939996,6.000251653912848,3.902177414331337,1.8012395936984098,1.3514234790386435,2.2558246959394643,1.819802328072673,4.299426934097421,4.0,3.6807545367717287,4.0,0.3653240962412491,0.3310923006832504,0.8524355300859598,1.0
BUY,8,BULL,HIGH,9075,198,8.211645546274754,5.727915217433455,6.058345437945986,3.98462211222772,1.7335633856791242,1.287767320477573,2.1796462843604223,1.549264688337626,4.270192837465565,4.0,3.7171349862258953,4.0,0.3734093663038962,0.3421832143469471,0.8382369146005509,1.0
BUY,8,BULL,VERY_HIGH,6073,196,8.23797631016055,5.29616205577883,6.7674686625553395,4.920563895085383,1.7893798765467797,1.2526839582767124,1.6220449477941306,0.7893665827443996,4.161699324880619,4.0,3.8267742466655688,4.0,0.34699529380963,0.3126699396867099,0.8318788078379713,1.0
SELL,5,BEAR,LOW,2644,198,4.899781083856717,2.9323382630878134,6.982040651309571,4.486932010329282,1.814658032292295,1.0995306143755599,-2.098793066912498,-1.290391977555183,2.3033282904689862,2.0,2.691376701966717,3.0,0.4600847687461272,0.42305222976296675,0.7008320726172466,1.0
SELL,5,BEAR,MEDIUM,3837,198,4.884675041099943,2.839807588642796,6.728150409567154,4.27007959288499,1.7070289921975723,1.068812972565203,-1.728836275115362,-0.9526996632317486,2.318217357310399,2.0,2.6750065155069063,3.0,0.47386973521772713,0.4417412806227543,0.7075840500390931,1.0
SELL,5,BEAR,HIGH,6652,198,4.723280507435837,2.793807126170778,6.850659467210733,4.685368102450571,1.764596180154842,1.0480961533394981,-2.105510959810467,-1.475858428746657,2.2671377029464823,2.0,2.714822609741431,3.0,0.4612050212272837,0.4263362530449689,0.710613349368611,1.0
SELL,5,BEAR,VERY_HIGH,5691,197,5.095329131143022,2.828906897115424,8.02254511978741,5.766055192894481,1.9044311663381064,1.1153173156004836,-2.767130790914597,-2.2380248150797533,2.256545422597083,2.0,2.7362502196450538,3.0,0.45952383699463956,0.4308393053553876,0.6858197153400105,1.0
SELL,5,BULL,LOW,3230,198,5.022117833025103,2.8978694287806195,6.180469805591223,4.191843508382831,1.745448945027762,1.0781540751730194,-1.2645715937868565,-1.1460594779898692,2.33374613003096,2.0,2.6575851393188854,3.0,0.46169006326399836,0.43442924572616193,0.7287925696594427,1.0
SELL,5,BULL,MEDIUM,4188,197,4.614284276137121,2.7862355516006296,5.924842980084704,4.1163780744717275,1.6121752899811654,1.0537743638837984,-1.2800725419241692,-1.2573723832773775,2.3144699140401146,2.0,2.6728748806112703,3.0,0.46681832420240205,0.44357568203310394,0.7125119388729704,1.0
SELL,5,BULL,HIGH,9075,198,4.556014015485028,2.764074877148981,5.804831311337195,3.9201573042185967,1.5969765887393401,1.01537781024382,-1.223687599229075,-0.8695270087441864,2.334876033057851,2.0,2.657410468319559,3.0,0.47079045793077307,0.4421926673446746,0.715702479338843,1.0
SELL,5,BULL,VERY_HIGH,6073,196,5.1449817099866975,3.3582583526598158,5.770605669532427,3.4727580926160684,1.7397799884399276,1.1787312042043474,-0.6413770793099911,-0.119224668831297,2.429935781327186,2.0,2.562654371809649,3.0,0.4503946081226192,0.4162674011327313,0.755145726988309,1.0
SELL,8,BEAR,LOW,2644,198,6.4668843402612275,4.4649836668922855,9.755737954323221,6.464304409335886,1.7274549646723552,1.1301674110212212,-3.1719069414134564,-1.8753709626503803,3.6959152798789714,4.0,4.293494704992436,4.0,0.3624725449260186,0.3261611766961027,0.7530257186081695,1.0
SELL,8,BEAR,MEDIUM,3837,198,6.455440100639364,4.192931338709737,9.323224996048317,6.097562482568364,1.626914833034663,1.104810280537019,-2.6130793717344076,-1.70068213200798,3.7125358352879854,4.0,4.273911910346625,4.0,0.3756992860758302,0.3401361013132884,0.7547563200416992,1.0
SELL,8,BEAR,HIGH,6652,198,6.195819309814635,4.028046234704613,9.598809180763935,6.904528158026324,1.6693149994293248,1.041544505819724,-3.291340180559247,-2.19127158298964,3.626728803367408,4.0,4.345309681298858,4.0,0.3677028309988199,0.3236597878823887,0.7635297654840649,1.0
SELL,8,BEAR,VERY_HIGH,5691,197,6.524000153640935,4.0618443271979165,10.967936990820998,8.226601670236144,1.8011823485435028,1.1446359977388298,-4.290571252697435,-3.5245143789629063,3.6243191003338606,4.0,4.364083640836409,4.0,0.3610889562459565,0.3260530736879317,0.7388859602881743,1.0
SELL,8,BULL,LOW,3230,198,6.408635165866555,4.179068910549866,8.99706927764675,6.470317843542917,1.6245500575404248,1.0806135248724789,-2.6015960458464504,-2.090012831130561,3.722291021671827,4.0,4.26687306501548,4.0,0.36375266407663426,0.3264965173821339,0.7718266253869969,1.0
SELL,8,BULL,MEDIUM,4188,197,6.000251653912848,3.902177414331337,8.331852721338752,6.078007219939996,1.5175951541676587,1.0508879290723656,-2.2558246959394643,-1.819802328072673,3.6807545367717287,4.0,4.299426934097421,4.0,0.3653240962412491,0.3310923006832504,0.7614613180515759,1.0
SELL,8,BULL,HIGH,9075,198,6.058345437945986,3.98462211222772,8.211645546274754,5.727915217433455,1.5192066482511564,1.04125554179773,-2.1796462843604223,-1.549264688337626,3.7171349862258953,4.0,4.270192837465565,4.0,0.3734093663038962,0.3421832143469471,0.7663911845730027,1.0
SELL,8,BULL,VERY_HIGH,6073,196,6.7674686625553395,4.920563895085383,8.23797631016055,5.29616205577883,1.672439124019923,1.1972024733133486,-1.6220449477941306,-0.7893665827443996,3.8267742466655688,4.0,4.161699324880619,4.0,0.34699529380963,0.3126699396867099,0.8119545529392392,1.0
