SIDE,HORIZON_W,PHASE,N,TICKERS,MFE_PCT_MEAN,MFE_PCT_MEDIAN,MAE_PCT_MEAN,MAE_PCT_MEDIAN,SPEED_PCT_PER_WEEK_MEAN,SPEED_PCT_PER_WEEK_MEDIAN,FINAL_DIRECTIONAL_RETURN_PCT_MEAN,FINAL_DIRECTIONAL_RETURN_PCT_MEDIAN,FAVORABLE_WEEKS_MEAN,FAVORABLE_WEEKS_MEDIAN,ADVERSE_WEEKS_MEAN,ADVERSE_WEEKS_MEDIAN,PATH_EFFICIENCY_MEAN,PATH_EFFICIENCY_MEDIAN,HAS_FAVORABLE_MOVE_MEAN,HAS_FAVORABLE_MOVE_MEDIAN
SELL,5,BUY,5364,198,5.0004189068003075,2.9727520618900938,6.023512591731961,4.020270115489755,1.6675664958821619,1.0761193423958582,-0.8191635349713627,-0.7369827595604117,2.3702460850111855,2.0,2.620059656972409,3.0,0.47322069753160956,0.453289304277638,0.7117822520507084,1.0
SELL,5,DEBOLEZZA_RIALZISTA,9473,197,4.622553364238387,2.832511826709605,5.986382578267079,3.9885762225390975,1.6431595717094134,1.0575898901425962,-1.4204920439087148,-0.982315743507467,2.333790773778106,2.0,2.656497413702101,3.0,0.46302932801693303,0.4349635482594806,0.722579964108519,1.0
SELL,5,DEBOLEZZA_RIBASSISTA,7855,198,5.146610736690677,3.1473501795056924,6.9913934595212,4.655740039596146,1.8682892479654782,1.1646583055057569,-1.8246085210264347,-1.2946824520682298,2.316231699554424,2.0,2.6711648631444938,3.0,0.4627885290223592,0.4377545180295839,0.709102482495226,1.0
SELL,5,SELL,5280,198,4.6678568759496715,2.5992003806148354,7.076973166783043,4.908412248031091,1.7490473381924334,1.0000444373190498,-2.33728327692322,-1.5310466888813545,2.2498106060606062,2.0,2.7420454545454547,3.0,0.45507629831026414,0.40907533479284075,0.6956439393939394,1.0
SELL,5,TREND_RIALZISTA,7729,198,4.855177801643434,3.0940924067018094,5.625665486885184,3.63310743498324,1.67387233960031,1.1080673761774906,-0.8533113838309938,-0.5408707112328548,2.374822098589727,2.0,2.6184499935308576,3.0,0.4566349153951153,0.4228870639901769,0.7447276491137276,1.0
SELL,5,TREND_RIBASSISTA,5689,198,4.753276093776803,2.664027597808316,7.597030358765006,4.9748348865954695,1.7601785287463882,1.0311217323744737,-2.6829316676869808,-1.87249463850514,2.256108279135173,2.0,2.7335208296712956,3.0,0.47104614336205625,0.4356846560600912,0.6952012656002813,1.0
SELL,8,BUY,5364,198,6.6278050355274125,4.33093160365437,8.427816200877395,5.853235197846307,1.5805179233223252,1.093805960236599,-1.6423224741628637,-1.308514756323309,3.767151379567487,4.0,4.219052945563012,4.0,0.36918273565529,0.33809880207213955,0.7652870991797166,1.0
SELL,8,DEBOLEZZA_RIALZISTA,9473,197,6.027201456114391,4.0387721759126975,8.555733958102604,5.89373397227988,1.5614699582278408,1.066730734486765,-2.6386861887298902,-1.6799233856364504,3.705162039480629,4.0,4.278792357225799,4.0,0.36494100560153625,0.3281451465269422,0.7704000844505436,1.0
SELL,8,DEBOLEZZA_RIBASSISTA,7855,198,6.762230874095936,4.582484867460634,9.5220652689113,6.718964495270607,1.7599087411605996,1.1893934101725652,-2.5319623686116013,-1.693907583390275,3.731253978357734,4.0,4.250795671546785,4.0,0.3609157173411911,0.3245227474852034,0.7611712285168682,1.0
SELL,8,SELL,5280,198,5.956739973073287,3.791208592396478,10.053113007073636,7.17962265967177,1.6497696569219003,1.015733955147702,-4.105156745510295,-2.989521259013761,3.584848484848485,4.0,4.401325757575758,4.0,0.3636672635071161,0.32390965900635016,0.7433712121212122,1.0
SELL,8,TREND_RIALZISTA,7729,198,6.373404314277877,4.449146059178288,8.053949093181759,5.549954172688465,1.5884079789841732,1.1218308355924522,-1.7694172643233592,-1.0933783344712955,3.7656876698149824,4.0,4.2243498512097295,4.0,0.3575505884876818,0.3235627298215437,0.7976452322422047,1.0
SELL,8,TREND_RIBASSISTA,5689,198,6.2650255249096345,3.9362128219847192,10.539802106103869,7.304077448409796,1.6927066817276337,1.0660599929947194,-4.0711463105791585,-2.7975445144746924,3.6088943575320793,4.0,4.370363860080857,4.0,0.3771657479740925,0.3393828496420358,0.7500439444542099,1.0
