SIDE,HORIZON_W,STRENGTH_DIRECTION,REVERSAL_DECILE,N,TICKERS,REVERSAL_1W_MEAN,REVERSAL_2W_MEAN,REVERSAL_3W_MEAN,MFE_PCT_MEAN,MFE_PCT_MEDIAN,MAE_PCT_MEAN,MAE_PCT_MEDIAN,SPEED_PCT_PER_WEEK_MEAN,SPEED_PCT_PER_WEEK_MEDIAN,FINAL_DIRECTIONAL_RETURN_PCT_MEAN,FINAL_DIRECTIONAL_RETURN_PCT_MEDIAN,FAVORABLE_WEEKS_MEAN,FAVORABLE_WEEKS_MEDIAN,ADVERSE_WEEKS_MEAN,ADVERSE_WEEKS_MEDIAN,PATH_EFFICIENCY_MEAN,PATH_EFFICIENCY_MEDIAN,HAS_FAVORABLE_MOVE_MEAN,HAS_FAVORABLE_MOVE_MEDIAN
BUY,5,BULL,1,2257,191,0.004772985730129525,0.034931161198356084,0.05298463514231862,6.976112227145029,4.410993192104296,4.405573332367342,2.656582168337529,2.036878408658771,1.4482427447544357,2.5021148188007554,1.5611607253742,2.7346034559149315,3.0,2.2565352237483385,2.0,0.47304487327832906,0.4476535812382894,0.8094816127603013,1.0
BUY,5,BULL,2,2257,197,0.009373174181848364,0.04368852491273954,0.07252520868886228,5.857835387950663,3.646892238911392,5.092947170976072,3.248619670447761,1.898130477819917,1.2918827766748575,0.6689289487453953,0.4185179421783092,2.596366858661941,3.0,2.3952148870181658,2.0,0.4707535834480449,0.4401546380516361,0.7886575099689854,1.0
BUY,5,BULL,3,2256,197,0.012113502084494007,0.05039857534927083,0.08973744835706218,5.7038190740022445,3.9462871814051725,5.087734647357968,3.0659808072632186,1.887869339533449,1.3107551954900498,0.36536447015160217,0.35609379301877464,2.589982269503546,3.0,2.398936170212766,2.0,0.47188769883506304,0.45596912196502865,0.7672872340425532,1.0
BUY,5,BULL,4,2257,197,0.015069723754475215,0.059761517000931304,0.10989932982508051,5.714653790919753,3.645723191076411,4.859228300748107,3.0039238624256948,1.8504742457878438,1.278503988390769,0.7382729310618416,0.646682003947241,2.601240584847142,3.0,2.39211342490031,2.0,0.4642891880027418,0.4318582890746929,0.7846699158174568,1.0
BUY,5,BULL,5,2256,198,0.018432253830295023,0.0729922563112729,0.1354753531432899,5.875376132827779,3.6932721051636253,4.67788673417171,2.962663582039826,1.8868018222237162,1.265154928043457,1.1011717658943223,0.8052450727177196,2.6210106382978724,3.0,2.3736702127659575,2.0,0.471034385163878,0.443978535094887,0.7792553191489362,1.0
BUY,5,BULL,6,2257,197,0.025251389449694125,0.09447631990566042,0.17309753328420602,5.643330889293952,3.7229944048899455,4.907277622677133,2.894234011008312,1.763022409396225,1.2521004616360676,0.8809536773754757,0.7988074071405338,2.61674789543642,3.0,2.375719982277359,2.0,0.46771213315813537,0.438718856823473,0.768276473194506,1.0
BUY,5,BULL,7,2256,198,0.037945158624097725,0.12779646339294423,0.22911431955490122,5.654789043089617,3.84481222175177,4.697612396693625,2.8912915623172664,1.7927555162796798,1.293758200216149,1.079671770410647,0.8242401814284039,2.6440602836879434,3.0,2.3430851063829787,2.0,0.45659939169344765,0.42603157717390205,0.7774822695035462,1.0
BUY,5,BULL,8,2257,196,0.07555208098086857,0.19772924659344485,0.32109411063201615,5.65057791329716,3.824676000995964,4.777540642018552,2.9610617212868284,1.8604307675030565,1.3927121310455923,0.892944469350598,0.3828673382379133,2.5928223305272486,3.0,2.399645547186531,2.0,0.44662226144043055,0.4090404387031915,0.7855560478511299,1.0
BUY,5,BULL,9,2256,197,0.18304741164379457,0.3367887016503795,0.45162462416944127,5.806580872174094,3.7933001551540118,4.79457348963598,3.21446289678593,1.8603858968109397,1.310822405749077,1.244803745853728,0.7013050584920855,2.6484929078014185,3.0,2.341755319148936,2.0,0.45168459777279385,0.42315342991712934,0.7898936170212766,1.0
BUY,5,BULL,10,2257,197,0.4337697398501983,0.5941219161402334,0.6424076734078705,5.833332653009041,4.223704031466236,4.620149399143073,2.754753060380588,1.8383784779473822,1.3890919849076555,1.3584490917290089,1.217711098250307,2.7027027027027026,3.0,2.2884359769605673,2.0,0.45898824211465533,0.4255318429398629,0.8001772264067346,1.0
