SIDE,HORIZON_W,TARGET_METRIC,TARGET_VARIANT,FEATURE_SET,FOLDS,N_TEST_TOTAL,MEAN_FOLD_SPEARMAN,MIN_FOLD_SPEARMAN,MAX_FOLD_SPEARMAN,POSITIVE_FOLDS,MEAN_MAE,MEAN_BASELINE_MAE,MEAN_MAE_IMPROVEMENT_PCT
BUY,8,SPEED,COMPLETE,TECH_PHASE_STRENGTH,4,31803,0.2071799967056941,0.1702563796243776,0.2593924132250488,4,1.4073202908039093,1.4219820609256282,0.7747939841295077
BUY,8,SPEED,CONDITIONAL,ALL,4,27144,0.29406987730708894,0.2254140908922033,0.3523335247072942,4,1.3552294075489044,1.4101054436095477,3.451791193369801
BUY,8,SPEED,CONDITIONAL,TECH_PHASE,4,27144,0.29227850083139284,0.2205375165842045,0.3535505432311419,4,1.354102611541748,1.4101054436095477,3.5261078879003085
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,4,27144,0.2916689737631042,0.2258382074063015,0.3509711932874222,4,1.3561990559101105,1.4101054436095477,3.3909047581410556
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,4,27144,0.2933536946281536,0.2226404189311201,0.3517199844971948,4,1.354160636663437,1.4101054436095477,3.5177677892710886
SELL,5,SPEED,COMPLETE,ALL,4,31803,0.08245020098296713,-0.0321112802701489,0.1721936415417958,3,1.5280202329158783,1.4482058905487896,-5.698632289236557
SELL,5,SPEED,COMPLETE,TECH_PHASE,4,31803,0.08376587355801046,-0.032046117101331,0.1779400767306837,3,1.5265519618988037,1.4482058905487896,-5.62101149651938
SELL,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,4,31803,0.08186999600855745,-0.0339758456197432,0.1736552506313992,3,1.5278047919273376,1.4482058905487896,-5.703273033436334
SELL,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,4,31803,0.0821142038223196,-0.0316273197573221,0.1738793444053601,3,1.5267033576965332,1.4482058905487896,-5.620054226861385
SELL,5,SPEED,CONDITIONAL,ALL,4,22516,0.2083569163722678,0.1150741110923297,0.2681572139776538,4,1.480511337518692,1.4825398664250262,0.06598790967665791
SELL,5,SPEED,CONDITIONAL,TECH_PHASE,4,22516,0.2081291803219928,0.1163453465167522,0.2658331570615824,4,1.481258600950241,1.4825398664250262,0.005801041896896342
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,4,22516,0.2072882514489866,0.1110879352462761,0.2641194504359679,4,1.4820101857185364,1.4825398664250262,-0.048544754952191016
SELL,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,4,22516,0.20793922564144673,0.1134205357436701,0.2635235703669581,4,1.4801970422267914,1.4825398664250262,0.09364506125198213
SELL,8,SPEED,COMPLETE,ALL,4,31803,0.09270411181656547,-0.0238837562403972,0.1824305647817707,3,1.358803391456604,1.3019943516624946,-4.501863955150009
SELL,8,SPEED,COMPLETE,TECH_PHASE,4,31803,0.08978081214432318,-0.0243168915354314,0.1754758269949867,3,1.3587968945503235,1.3019943516624946,-4.47456802371855
SELL,8,SPEED,COMPLETE,TECH_PHASE_REVERSAL,4,31803,0.09172262107883507,-0.0234217940410845,0.180316661245515,3,1.359378159046173,1.3019943516624946,-4.538410667460666
SELL,8,SPEED,COMPLETE,TECH_PHASE_STRENGTH,4,31803,0.0895369721459536,-0.0274872182567689,0.181548667242107,3,1.3571586608886719,1.3019943516624946,-4.375552731553277
SELL,8,SPEED,CONDITIONAL,ALL,4,24138,0.19390342099860342,0.0923972599573004,0.2516656148029391,4,1.3155686855316162,1.3095893400215441,-0.5452042583240133
SELL,8,SPEED,CONDITIONAL,TECH_PHASE,4,24138,0.19376677724376346,0.0936817866023981,0.2505721138473142,4,1.3142723441123962,1.3095893400215441,-0.4465924875075464
SELL,8,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,4,24138,0.1947317492844371,0.0938099629898718,0.2514909339010946,4,1.313149333000183,1.3095893400215441,-0.3485347665323897
SELL,8,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,4,24138,0.19329543042091718,0.0905618641986636,0.2496262178888344,4,1.3138644397258759,1.3095893400215441,-0.4176638381042922
