SIDE,HORIZON_W,TARGET_METRIC,TARGET_VARIANT,FEATURE_SET,MODEL,FOLD,TRAIN_N,TEST_N,N_FEATURES,TRAIN_END,TEST_START,TEST_END,SPEARMAN,PEARSON,R2,MAE,RMSE,BASELINE_MAE,MAE_IMPROVEMENT_PCT
BUY,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,2,15786,9723,428,2023-11-24,2024-01-05,2024-12-27,0.15104566590511587,0.2300624917762663,0.04405486583709717,1.4245699644088745,2.109357028460769,1.389711028291602,-2.5083586017249333
BUY,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,3,25509,9789,428,2024-11-22,2025-01-03,2025-12-26,0.2351300837456098,0.31325297037100974,0.09716808795928955,1.5719166994094849,2.272265469710273,1.6086979828270593,2.286400791833938
BUY,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,4,35270,5158,428,2025-11-21,2026-01-02,2026-07-03,0.16395771763572042,0.2944899875211018,0.07602238655090332,1.98536217212677,2.9662137089376825,2.008524999358549,1.1532257372537629
BUY,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,1,8673,7133,426,2023-02-24,2023-04-07,2023-12-29,0.13712807509805286,0.22488863816059185,0.0447620153427124,1.4229412078857422,2.1323324368866423,1.3860936711432177,-2.658372771598727
BUY,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,2,15786,9723,426,2023-11-24,2024-01-05,2024-12-27,0.15139869085531527,0.22780726897985193,0.0426030158996582,1.4255062341690063,2.1109582681149575,1.389711028291602,-2.57573014451846
BUY,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,3,25509,9789,426,2024-11-22,2025-01-03,2025-12-26,0.23444050609180708,0.3160147965877823,0.09908527135848999,1.572046160697937,2.2698515306561187,1.6086979828270593,2.278353209886664
BUY,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,4,35270,5158,426,2025-11-21,2026-01-02,2026-07-03,0.16309797043863605,0.28964773835260277,0.07378548383712769,1.9904403686523438,2.9698020275679617,2.008524999358549,0.900393607845589
BUY,5,SPEED,COMPLETE,ALL,RF_V40_21,1,8673,7133,431,2023-02-24,2023-04-07,2023-12-29,0.14078210749299178,0.22679429576073998,0.0461270809173584,1.4225343465805054,2.1308082413591545,1.3860936711432177,-2.629019682864021
BUY,5,SPEED,COMPLETE,ALL,RF_V40_21,2,15786,9723,431,2023-11-24,2024-01-05,2024-12-27,0.1482476837807237,0.22610923310160438,0.04159599542617798,1.427626371383667,2.1120680960023233,1.389711028291602,-2.7282897178037757
BUY,5,SPEED,COMPLETE,ALL,RF_V40_21,3,25509,9789,431,2024-11-22,2025-01-03,2025-12-26,0.23744779172541933,0.31491814236503674,0.09827351570129395,1.57295560836792,2.270873941414228,1.6086979828270593,2.2218200582515335
BUY,5,SPEED,COMPLETE,ALL,RF_V40_21,4,35270,5158,431,2025-11-21,2026-01-02,2026-07-03,0.16618453203617936,0.2965301721681614,0.07743775844573975,1.9860355854034424,2.9639408712010558,2.008524999358549,1.1196979854514488
BUY,8,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,1,6616,6080,423,2023-02-03,2023-04-07,2023-12-29,0.2820132187037742,0.3471732580148372,0.11985570192337036,1.1832388639450073,1.8744611601632863,1.2256142808059132,3.4574839347532347
BUY,8,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,2,12597,8325,423,2023-11-03,2024-01-05,2024-12-27,0.2205375165842045,0.2872447448151903,0.0764542818069458,1.2274247407913208,1.9187636583072,1.20957666616073,-1.4755637348099464
BUY,8,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,3,21015,8426,423,2024-11-01,2025-01-03,2025-12-26,0.3535505432311419,0.39616256800144894,0.15653538703918457,1.2996577024459839,1.9595980381912406,1.3674047939112282,4.954428400932051
BUY,8,SPEED,CONDITIONAL,TECH_PHASE,RF_V40_21,4,29349,4313,423,2025-10-31,2026-01-02,2026-07-03,0.3130127248064506,0.39304345860344797,0.12369608879089355,1.7060891389846802,2.7239311221765163,1.8378260335603194,7.1680829507258945
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,1,6616,6080,428,2023-02-03,2023-04-07,2023-12-29,0.2837230665641144,0.3498931449380759,0.12176012992858887,1.1823391914367676,1.8724320947127302,1.2256142808059132,3.530889778853563
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,2,12597,8325,428,2023-11-03,2024-01-05,2024-12-27,0.22264041893112016,0.2877835733080698,0.07718920707702637,1.2268247604370117,1.918000075323364,1.20957666616073,-1.4259612274952629
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,3,21015,8426,428,2024-11-01,2025-01-03,2025-12-26,0.3517199844971948,0.39495798742438243,0.15567868947982788,1.3029773235321045,1.9605929615344644,1.3674047939112282,4.711660414385404
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,RF_V40_21,4,29349,4313,428,2025-10-31,2026-01-02,2026-07-03,0.315331308520185,0.39405380201395274,0.12339800596237183,1.7045012712478638,2.724394452768788,1.8378260335603194,7.254482191340649
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,1,6616,6080,426,2023-02-03,2023-04-07,2023-12-29,0.27763171002301734,0.3464699932896434,0.11942362785339355,1.1842783689498901,1.8749211612656982,1.2256142808059132,3.372668914141752
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,2,12597,8325,426,2023-11-03,2024-01-05,2024-12-27,0.22583820740630153,0.2887092089009345,0.0776718258857727,1.2266967296600342,1.9174984978939773,1.20957666616073,-1.4153764683345296
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,3,21015,8426,426,2024-11-01,2025-01-03,2025-12-26,0.35097119328742227,0.3938981976851635,0.15494787693023682,1.3037629127502441,1.9614412792866993,1.3674047939112282,4.654209305420618
BUY,8,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,RF_V40_21,4,29349,4313,426,2025-10-31,2026-01-02,2026-07-03,0.31223478433567586,0.38914727804558746,0.12100964784622192,1.7100582122802734,2.728103246088678,1.8378260335603194,6.952117281336381
BUY,8,SPEED,CONDITIONAL,ALL,RF_V40_21,1,6616,6080,431,2023-02-03,2023-04-07,2023-12-29,0.2829605638338581,0.35042362938937666,0.12214607000350952,1.1824350357055664,1.8720206431693398,1.2256142808059132,3.5230696783292927
BUY,8,SPEED,CONDITIONAL,ALL,RF_V40_21,2,12597,8325,431,2023-11-03,2024-01-05,2024-12-27,0.22541409089220335,0.29005179211718557,0.0787729024887085,1.227247714996338,1.9163535594889114,1.20957666616073,-1.4609283834564188
BUY,8,SPEED,CONDITIONAL,ALL,RF_V40_21,3,21015,8426,431,2024-11-01,2025-01-03,2025-12-26,0.35233352470729423,0.39479294123227116,0.15564966201782227,1.3038711547851562,1.9606267067266738,1.3674047939112282,4.646293431833361
BUY,8,SPEED,CONDITIONAL,ALL,RF_V40_21,4,29349,4313,431,2025-10-31,2026-01-02,2026-07-03,0.31557132979500035,0.3915563296900515,0.12241923809051514,1.7073637247085571,2.725914908292215,1.8378260335603194,7.0987300467729675
BUY,8,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,1,8124,7133,423,2023-02-03,2023-04-07,2023-12-29,0.19218637304213415,0.28249397597032433,0.07811874151229858,1.2303446531295776,1.8967520684969699,1.2224890808757483,-0.6425883369201075
BUY,8,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,2,15226,9723,423,2023-11-03,2024-01-05,2024-12-27,0.17176624067245344,0.24921034755649044,0.052774786949157715,1.2554423809051514,1.928088742105371,1.2344108098909494,-1.7037740471553324
BUY,8,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,3,24942,9789,423,2024-11-01,2025-01-03,2025-12-26,0.260701741860097,0.33132430728403545,0.10892724990844727,1.3619248867034912,2.016258081182283,1.4029784224683772,2.9261701468406836
BUY,8,SPEED,COMPLETE,TECH_PHASE,RF_V40_21,4,34701,5158,423,2025-10-31,2026-01-02,2026-07-03,0.198963074512501,0.31501230946994874,0.08212906122207642,1.7782411575317383,2.7452145467271327,1.8280499304674376,2.7246943371488244
BUY,8,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,1,8124,7133,428,2023-02-03,2023-04-07,2023-12-29,0.20222147460923007,0.28694530082591385,0.0808408260345459,1.2277870178222656,1.8939496278197332,1.2224890808757483,-0.43337294617978195
BUY,8,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,2,15226,9723,428,2023-11-03,2024-01-05,2024-12-27,0.17025637962437762,0.24452285617480285,0.048982203006744385,1.25813627243042,1.9319448511138617,1.2344108098909494,-1.922007029537149
BUY,8,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,3,24942,9789,428,2024-11-01,2025-01-03,2025-12-26,0.2593924132250488,0.3300533656351126,0.10806173086166382,1.363234519958496,2.01723693739798,1.4029784224683772,2.8328235041531404
BUY,8,SPEED,COMPLETE,TECH_PHASE_STRENGTH,RF_V40_21,4,34701,5158,428,2025-10-31,2026-01-02,2026-07-03,0.19684971936412,0.3102673483000827,0.07940518856048584,1.7801233530044556,2.7492848246624324,1.8280499304674376,2.6217324080818214
BUY,8,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,1,8124,7133,426,2023-02-03,2023-04-07,2023-12-29,0.19847189352234326,0.28678301271545287,0.08090555667877197,1.2264869213104248,1.8938829708942517,1.2224890808757483,-0.3270246333662657
BUY,8,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,2,15226,9723,426,2023-11-03,2024-01-05,2024-12-27,0.16832497513798922,0.24155726399877628,0.04757505655288696,1.2591053247451782,1.933373579340809,1.2344108098909494,-2.0005102560962156
BUY,8,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,3,24942,9789,426,2024-11-01,2025-01-03,2025-12-26,0.26148257480886855,0.3287331960263151,0.10743701457977295,1.3654171228408813,2.0179433575139125,1.4029784224683772,2.6772542632131966
BUY,8,SPEED,COMPLETE,TECH_PHASE_REVERSAL,RF_V40_21,4,34701,5158,426,2025-10-31,2026-01-02,2026-07-03,0.19838145031404675,0.3131727594610788,0.08130204677581787,1.7781211137771606,2.7464509951381015,1.8280499304674376,2.7312611027812568
BUY,8,SPEED,COMPLETE,ALL,RF_V40_21,1,8124,7133,431,2023-02-03,2023-04-07,2023-12-29,0.20133327690641703,0.28589528754786,0.08026403188705444,1.2277494668960571,1.8945437716040776,1.2224890808757483,-0.43030126833856996
BUY,8,SPEED,COMPLETE,ALL,RF_V40_21,2,15226,9723,431,2023-11-03,2024-01-05,2024-12-27,0.1700229093753551,0.24574292826740493,0.05005347728729248,1.257409691810608,1.9308563893005883,1.2344108098909494,-1.8631465096850746
BUY,8,SPEED,COMPLETE,ALL,RF_V40_21,3,24942,9789,431,2024-11-01,2025-01-03,2025-12-26,0.25965576835144955,0.3297887139231027,0.10808706283569336,1.3638606071472168,2.017208453246133,1.4029784224683772,2.788197929112637
